cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	lineage	celltype
Germ.PGC	NANOG	0.0	1.4700847988426708	0.866	0.055	0.0	Germ	PGC
Germ.PGC	IFITM1	8.953895764374361e-251	1.2501284636744774	0.803	0.081	1.591823588990474e-246	Germ	PGC
Germ.PGC	ETV4	4.660763473439957e-228	1.0356073486202626	0.759	0.08	8.285905303081557e-224	Germ	PGC
Germ.PGC	ST6GALNAC1	9.73118888054623e-210	0.7009417588067974	0.566	0.028	1.7300107591835088e-205	Germ	PGC
Germ.PGC	POU5F1	2.197150441333956e-207	1.478239058848856	0.934	0.237	3.9060940546035074e-203	Germ	PGC
Germ.PGC	RASD1	4.638347952221496e-205	1.0743249956144878	0.797	0.11	8.246054989459374e-201	Germ	PGC
Germ.PGC	NANOS3	5.0536774190823786e-201	1.3030385449267985	0.9	0.187	8.984427715644654e-197	Germ	PGC
Germ.PGC	GPHA2	2.026177731752929e-183	1.099541751198534	0.728	0.103	3.602138771510357e-179	Germ	PGC
Germ.PGC	GLIPR2	2.210213474640875e-182	1.1805216392541331	0.9	0.237	3.929317515216548e-178	Germ	PGC
Germ.PGC	MMP2	4.767802650401074e-181	0.9785829242493552	0.834	0.151	8.47619955188303e-177	Germ	PGC
Germ.PGC	SLC25A16	7.665139474468496e-178	0.8214973571069359	0.691	0.09	1.3627084957710095e-173	Germ	PGC
Germ.PGC	THY1	1.022873638134977e-174	1.0298471684031072	0.791	0.141	1.818464753876362e-170	Germ	PGC
Germ.PGC	SUSD2	2.696823958630198e-174	0.7682763439888305	0.559	0.044	4.7944136336527674e-170	Germ	PGC
Germ.PGC	AQP3	3.2394070273095306e-173	0.9793597479323344	0.709	0.101	5.759017813150882e-169	Germ	PGC
Germ.PGC	PDPN	3.7989283198548634e-170	1.2412445131121856	0.941	0.33	6.753734767037975e-166	Germ	PGC
Germ.PGC	SOX15	6.636968359071157e-169	1.1066904187849709	0.881	0.24	1.1799202348756703e-164	Germ	PGC
Germ.PGC	PHLDA3	1.2435940258615611e-166	0.9125932306422858	0.787	0.151	2.2108614591766834e-162	Germ	PGC
Germ.PGC	PPM1N	6.195798886446183e-157	0.740565293165918	0.65	0.088	1.1014891260324026e-152	Germ	PGC
Germ.PGC	FOXH1	1.0175526012799369e-155	0.6210672681713443	0.466	0.029	1.809005014555472e-151	Germ	PGC
Germ.PGC	ACP5	1.1862538357912344e-155	0.6617472855344555	0.525	0.045	2.1089220692696563e-151	Germ	PGC
